bibnum|title|author|year|periodical|parent_title|citation|keyword|project|link
001|A potent juvenile hormone mimic, 1-(4'-ethylphenoxy)-6,7-epoxy-3,7-dimethyl-2-octene, labeled with tritium in either the ethylphenyl- or geranyl-derived moiety|Kamimura, H.; B.D. Hammock; I. Yamamoto; J.E. Casida|1972|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Kamimura, B.D. Hammock. (1972). J. Agric. Food Chem. 20:439–442||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125095.pdf
001|A potent juvenile hormone mimic, 1-(4'-ethylphenoxy)-6,7-epoxy-3,7-dimethyl-2-octene, labeled with tritium in either the ethylphenyl- or geranyl-derived moiety|Kamimura, H.; B.D. Hammock; I. Yamamoto; J.E. Casida|1972|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Kamimura, B.D. Hammock. (1972). J. Agric. Food Chem. 20:439–442||Insect Biology|http://ucanr.org/sites/hammocklab/files/125095.pdf
002|Preliminary chromatographic studies on the metabolites and photodecomposition products of the juvenoid 1-(4'-ethylphenoxy-6,7-epoxy-3,7- dimethyl-2-octene|Gill, S. S.; B.D. Hammock; I. Yamamoto; J.E. Casida|1972||Insect Juvenile Hormones: Chemistry and Action|Gill & B.D. Hammock. (1972). In: Insect Juvenile Hormones: Chemistry and Action (Academic Press, New York): 177–189||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125138.pdf
002|Preliminary chromatographic studies on the metabolites and photodecomposition products of the juvenoid 1-(4'-ethylphenoxy-6,7-epoxy-3,7- dimethyl-2-octene|Gill, S. S.; B.D. Hammock; I. Yamamoto; J.E. Casida|1972||Insect Juvenile Hormones: Chemistry and Action|Gill & B.D. Hammock. (1972). In: Insect Juvenile Hormones: Chemistry and Action (Academic Press, New York): 177–189||Insect Biology|http://ucanr.org/sites/hammocklab/files/125138.pdf
003|"Mammalian metabolism and environmental degradation of the juvenoid 1-(4'-ethylphenoxy)-3,7-dimethyl-6,7-epoxy-trans-2-octene and related compounds
"|Gill, S. S.; Hammock, B. D.; Casida, J. E.|1974|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Gill, Hammock, Casida. (1974). J. Agric. Food Chem. 22:386–395|Animals; Biodegradation, Environmental; Biotransformation; Carbon Radioisotopes; Chlorophyta/metabolism; Ethers, Cyclic/metabolism; Insecticides/metabolism; Juvenile Hormones/metabolism; Models, Chemical; Photochemistry; Plants; Terpenes/metabolism; Tritium|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125174.pdf
003|"Mammalian metabolism and environmental degradation of the juvenoid 1-(4'-ethylphenoxy)-3,7-dimethyl-6,7-epoxy-trans-2-octene and related compounds
"|Gill, S. S.; Hammock, B. D.; Casida, J. E.|1974|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Gill, Hammock, Casida. (1974). J. Agric. Food Chem. 22:386–395|Animals; Biodegradation, Environmental; Biotransformation; Carbon Radioisotopes; Chlorophyta/metabolism; Ethers, Cyclic/metabolism; Insecticides/metabolism; Juvenile Hormones/metabolism; Models, Chemical; Photochemistry; Plants; Terpenes/metabolism; Tritium|Insect Biology|http://ucanr.org/sites/hammocklab/files/125174.pdf
004|Synthesis and morphogenetic activity of derivatives and analogs of aryl geranyl ether juvenoids|Hammock, B. D.; S.S. Gill; J.E. Casida|1974|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Hammock, S.S. Gill, J.E. Casida. (1974). J. Agric. Food Chem. 22:379–385||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125202.pdf
004|Synthesis and morphogenetic activity of derivatives and analogs of aryl geranyl ether juvenoids|Hammock, B. D.; S.S. Gill; J.E. Casida|1974|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Hammock, S.S. Gill, J.E. Casida. (1974). J. Agric. Food Chem. 22:379–385||Insect Biology|http://ucanr.org/sites/hammocklab/files/125202.pdf
005|Insect metabolism of a phenyl epoxygeranyl ether juvenoid and related compounds|Hammock, B. D.; S.S. Gill; J.E. Casida|1974|Pestoc Biochem Physiol (Pesticide biochemistry and physiology)||Hammock, S.S. Gill, J.E. Casida. (1974). Pestoc Biochem Physiol 4:393–406||Insect Biology|http://ucanr.org/sites/hammocklab/files/130986.pdf
006|"Detection and analysis of epoxides with 4-(p-Nitrobenzyl)-pyridine
"|Hammock, L. G.; Hammock, B. D.; Casida, J. E.|1974|Bull Environ Contam Toxicol (Bulletin of environmental contamination and toxicology)||Hammock, Hammock, Casida. (1974). Bull Environ Contam Toxicol 12:759–764|Chromatography, Paper; Chromatography, Thin Layer; Colorimetry; Epoxy Compounds/analysis; Ethers, Cyclic/analysis; Nitrobenzenes; Pyridines|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125291.pdf
006|"Detection and analysis of epoxides with 4-(p-Nitrobenzyl)-pyridine
"|Hammock, L. G.; Hammock, B. D.; Casida, J. E.|1974|Bull Environ Contam Toxicol (Bulletin of environmental contamination and toxicology)||Hammock, Hammock, Casida. (1974). Bull Environ Contam Toxicol 12:759–764|Chromatography, Paper; Chromatography, Thin Layer; Colorimetry; Epoxy Compounds/analysis; Ethers, Cyclic/analysis; Nitrobenzenes; Pyridines|Insect Biology|http://ucanr.org/sites/hammocklab/files/125291.pdf
007|"Metabolic O-dealkylation of 1-(4'-ethylphenoxy)-3,7-dimethyl-7-methoxy or ethoxy-trans-2-octene, potent juvenoids
"|Hammock, B. D.; S.S. Gill; L.G. Hammock; J.E. Casida|1975|Pestoc Biochem Physiol (Pesticide biochemistry and physiology)||Hammock, S.S. Gill. (1975). Pestoc Biochem Physiol 5:12–18||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125363.pdf
008|"The influence of hemolymph-binding protein on juvenile hormone stability and distribution in Manduca sexta fat body and imaginal discs in vitro
"|Hammock, B.; Nowock, J.; Goodman, W.; Stamoudis, V.; Gilbert, L. I.|1975|Mol. Cell. Endocrinol. (Molecular and cellular endocrinology)||Hammock, Nowock. (1975). Mol. Cell. Endocrinol. 3:167–184|Adipose Tissue/enzymology/metabolism; Animals; Drug Stability; Epoxide Hydrolases/metabolism; Esterases/metabolism; Hemolymph/physiology; Juvenile Hormones/metabolism; Kinetics; Larva; Lepidoptera/metabolism; Moths/metabolism; Protein Binding; Receptors, Cell Surface; Subcellular Fractions/enzymology; Wing/metabolism|Insect Biology|http://ucanr.org/sites/hammocklab/files/131003.pdf
009|"NADPH dependent epoxidation of methyl farnesoate to juvenile hormone in the cockroach Blaberus giganteus L
"|Hammock, B. D.|1975|Life Sci. (Life sciences)||Hammock. (1975). Life Sci. 17:323–328|Animals; Carbon Monoxide/pharmacology; Cockroaches; Depression, Chemical; Endocrine Glands/metabolism; Epoxy Compounds/biosynthesis; Fatty Acids, Unsaturated/metabolism; Female; Juvenile Hormones/biosynthesis; Methylene Blue/pharmacology; Microsomes/enzymology; NADH, NADPH Oxidoreductases/metabolism; Neurosecretory Systems/drug effects/enzymology/metabolism; Piperonyl Butoxide/pharmacology; Proadifen/pharmacology; Sesquiterpenes/metabolism; Solubility|Insect Biology|http://ucanr.org/sites/hammocklab/files/131008.pdf
010|Soluble mammalian epoxide hydratase: action on juvenile hormone and other terpenoid epoxides|Hammock, B. D.; Gill, S. S.; Stamoudis, V.; Gilbert, L. I.|1976|Comp. Biochem. Physiol., B (Comparative biochemistry and physiology. B, Comparative biochemistry)||Hammock, Gill. (1976). Comp. Biochem. Physiol., B 53:263–265|Animals; Cytosol/enzymology; Epoxide Hydrolases/metabolism; Hydro-Lyases/metabolism; Juvenile Hormones/metabolism; Kidney/enzymology; Kinetics; Liver/enzymology; Male; Mice; Microsomes/enzymology; Microsomes, Liver/enzymology|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125096.pdf
010|Soluble mammalian epoxide hydratase: action on juvenile hormone and other terpenoid epoxides|Hammock, B. D.; Gill, S. S.; Stamoudis, V.; Gilbert, L. I.|1976|Comp. Biochem. Physiol., B (Comparative biochemistry and physiology. B, Comparative biochemistry)||Hammock, Gill. (1976). Comp. Biochem. Physiol., B 53:263–265|Animals; Cytosol/enzymology; Epoxide Hydrolases/metabolism; Hydro-Lyases/metabolism; Juvenile Hormones/metabolism; Kidney/enzymology; Kinetics; Liver/enzymology; Male; Mice; Microsomes/enzymology; Microsomes, Liver/enzymology|Insect Biology|http://ucanr.org/sites/hammocklab/files/125096.pdf
011|The degradative metabolism of juvenoids by insects|Hammock, B. D.; G.B. Quistad|1976||The Juvenile Hormones|Hammock & G.B. Quistad. (1976). In: The Juvenile Hormones (Plenum Press, New York): 374–393||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125101.pdf
011|The degradative metabolism of juvenoids by insects|Hammock, B. D.; G.B. Quistad|1976||The Juvenile Hormones|Hammock & G.B. Quistad. (1976). In: The Juvenile Hormones (Plenum Press, New York): 374–393||Esterase and Amidase|http://ucanr.org/sites/hammocklab/files/125101.pdf
011|The degradative metabolism of juvenoids by insects|Hammock, B. D.; G.B. Quistad|1976||The Juvenile Hormones|Hammock & G.B. Quistad. (1976). In: The Juvenile Hormones (Plenum Press, New York): 374–393||Insect Biology|http://ucanr.org/sites/hammocklab/files/125101.pdf
